Date,SPY,EFA,AGG,GLD,VNQ
2018-10-01,263.086,61.3157,99.0746,112.57,69.5055
2018-10-02,262.937,60.9997,99.1981,113.87,69.3502
2018-10-03,263.078,60.892,98.7161,113.42,68.61
2018-10-04,261.012,60.1788,98.4313,113.48,68.0349
2018-10-05,259.547,59.8198,98.2053,113.8,68.0025
2018-10-08,259.547,59.5302,98.1654,112.54,68.9836
2018-10-09,259.192,59.3786,98.3129,112.6,69.0789
2018-10-10,250.962,58.1185,98.2839,112.88,68.0536
2018-10-11,245.441,57.3065,98.5886,115.78,66.1072
2018-10-12,248.858,57.5139,98.6086,115.23,65.9332
2018-10-15,247.45,57.3779,98.5498,116.0,66.3766
2018-10-16,252.866,58.3592,98.6086,115.8,67.741
2018-10-17,252.903,58.0275,98.4015,115.79,67.4796
2018-10-18,249.258,57.0903,98.3327,115.92,67.3498
2018-10-19,249.125,57.4141,98.2451,116.01,67.9318
2018-10-22,248.004,57.1627,98.2252,115.71,66.9831
2018-10-23,246.751,56.6216,98.3517,116.39,67.279
2018-10-24,239.276,55.0182,98.6086,116.66,67.9131
2018-10-25,243.584,55.7118,98.5299,116.4,68.783
2018-10-26,239.286,55.3332,98.746,116.77,67.1315
2018-10-29,237.956,55.1796,98.6464,116.31,67.9868
2018-10-30,241.498,55.8449,98.51,115.8,68.9147
2018-10-31,244.082,56.2597,98.4612,115.15,68.1058
2018-11-01,246.675,56.9817,98.4712,116.63,68.4272
2018-11-02,245.191,57.0629,98.1654,116.65,67.8639
2018-11-05,246.559,57.0629,98.2351,116.37,68.8705
2018-11-06,248.109,57.2967,98.2451,116.04,69.2175
2018-11-07,253.413,58.0617,98.3327,116.03,70.0443
2018-11-08,252.952,57.4963,98.1455,115.78,70.0973
2018-11-09,250.483,57.1167,98.2739,114.48,70.0885
2018-11-12,245.813,56.1794,98.4413,113.66,70.2281
2018-11-13,245.333,56.424,98.4811,113.7,70.1573
2018-11-14,243.677,56.468,98.491,114.64,69.9853
2018-11-15,246.224,56.6481,98.6086,114.77,69.5055
2018-11-16,246.867,56.7116,98.7659,115.62,70.2526
2018-11-19,242.672,56.2166,98.7559,115.67,70.349
2018-11-20,238.186,55.2442,98.7261,115.67,69.6294
2018-11-21,238.998,56.018,98.7858,115.86,69.6865
2018-11-23,237.429,55.6492,98.7559,115.77,69.5498
2018-11-26,241.239,56.4866,98.736,115.64,69.6785
2018-11-27,242.04,56.2685,98.7659,114.95,69.9754
2018-11-28,247.612,57.0717,98.9551,115.38,70.6016
2018-11-29,247.077,56.7821,99.0049,115.74,70.6184
2018-11-30,248.588,56.5404,98.975,115.54,71.2888
2018-12-03,251.882,57.2869,99.1482,116.41,71.6692
2018-12-04,243.726,55.8018,99.4071,117.12,70.6095
2018-12-06,243.362,55.2794,99.6362,117.14,72.3573
2018-12-07,237.687,54.7217,99.7752,118.09,71.4107
2018-12-10,238.136,54.2981,99.835,117.68,70.9506
2018-12-11,238.196,54.4693,99.855,117.54,70.984
2018-12-12,239.401,55.2696,99.7951,117.79,69.889
2018-12-13,239.322,55.1708,99.8151,117.53,70.295
2018-12-14,234.902,54.4595,99.835,117.06,70.0915
2018-12-17,230.286,54.0271,99.9947,117.87,67.4501
2018-12-18,230.03,54.0731,100.293,118.15,68.147
2018-12-19,226.595,53.5526,100.393,117.43,67.3999
2018-12-20,222.91,53.3354,100.293,119.24,66.3864
2018-12-21,218.344,52.406,100.244,118.72,65.4614
2018-12-24,212.563,51.7975,100.313,120.02,63.1297
2018-12-26,223.301,52.9979,100.124,119.66,65.2412
2018-12-27,225.025,53.1535,100.283,120.57,65.2324
2018-12-28,224.726,53.4352,100.662,121.06,65.4457
2018-12-31,226.699,53.5174,100.92,121.25,65.6217
